"filename", "language", "SCSS", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\fd\resources\css\themes\theme2\_buttons.scss", "SCSS", 85, 0, 50, 9, 144
"c:\xampp\htdocs\fd\resources\css\themes\theme2\_main.scss", "SCSS", 58, 0, 9, 8, 75
"c:\xampp\htdocs\fd\resources\css\themes\theme2\_scrollbar.scss", "SCSS", 14, 0, 4, 3, 21
"c:\xampp\htdocs\fd\resources\css\themes\theme2\_vars.scss", "SCSS", 29, 0, 2, 9, 40
"c:\xampp\htdocs\fd\resources\js\3D\3DHelper.js", "JavaScript", 0, -157, -13, -18, -188
"c:\xampp\htdocs\fd\resources\js\3D\commonJS\drawDOMElement_3D.js", "JavaScript", 0, -40, -42, -12, -94
"c:\xampp\htdocs\fd\resources\js\3D\modules\_old\NewProject\Core.js", "JavaScript", 0, -171, -105, -9, -285
"c:\xampp\htdocs\fd\resources\js\3D\modules\_old\NewProject\animations.js", "JavaScript", 0, -247, -28, -6, -281
"c:\xampp\htdocs\fd\resources\js\3D\modules\_old\NewProject\communication.js", "JavaScript", 0, -163, -1, -18, -182
"c:\xampp\htdocs\fd\resources\js\3D\modules\_old\NewProject\light.js", "JavaScript", 0, -67, -52, -18, -137
"c:\xampp\htdocs\fd\resources\js\3D\modules\_old\_index_light_copy.js", "JavaScript", 0, -59, -53, -18, -130
"c:\xampp\htdocs\fd\resources\js\3D\modules\_old\projectNew\Core.js", "JavaScript", 0, -149, -7, -13, -169
"c:\xampp\htdocs\fd\resources\js\3D\modules\_old\projectNew\light.js", "JavaScript", 0, -74, -53, -19, -146
"c:\xampp\htdocs\fd\resources\js\3D\modules\_old\textures.js", "JavaScript", 0, 0, -26, -4, -30
"c:\xampp\htdocs\fd\resources\js\3D\modules\assets\materials\lighter.js", "JavaScript", 0, -204, -363, -28, -595
"c:\xampp\htdocs\fd\resources\js\3D\modules\assets\materials\materials.js", "JavaScript", 0, -143, -88, -14, -245
"c:\xampp\htdocs\fd\resources\js\3D\modules\assets\materials\other.js", "JavaScript", 0, -147, -44, -10, -201
"c:\xampp\htdocs\fd\resources\js\3D\modules\assets\newMaterials\materialsEngraving.js", "JavaScript", 0, -119, -147, -14, -280
"c:\xampp\htdocs\fd\resources\js\3D\modules\assets\newMaterials\materialsLighterGeneral.js", "JavaScript", 0, -224, -91, -20, -335
"c:\xampp\htdocs\fd\resources\js\3D\modules\assets\workerInterface.js", "JavaScript", 0, -49, -15, -2, -66
"c:\xampp\htdocs\fd\resources\js\3D\modules\background\Core.js", "JavaScript", 0, -93, -4, -8, -105
"c:\xampp\htdocs\fd\resources\js\3D\modules\background\light_bright.js", "JavaScript", 0, -58, -53, -18, -129
"c:\xampp\htdocs\fd\resources\js\3D\modules\background\light_dark.js", "JavaScript", 0, -58, -53, -18, -129
"c:\xampp\htdocs\fd\resources\js\3D\modules\background\light_medium.js", "JavaScript", 0, -58, -53, -18, -129
"c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\animations.js", "JavaScript", 0, -388, -70, -38, -496
"c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\converter\Core.js", "JavaScript", 0, -168, -38, -24, -230
"c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\converter\animations.js", "JavaScript", 0, -302, -25, -5, -332
"c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\converter\communication.js", "JavaScript", 0, -152, -25, -5, -182
"c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\converter\light.js", "JavaScript", 0, -64, -54, -17, -135
"c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\index\Core.js", "JavaScript", 0, -253, -230, -58, -541
"c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\index\animations.js", "JavaScript", 0, -441, -45, -7, -493
"c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\index\communication.js", "JavaScript", 0, -70, -100, -5, -175
"c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\index\communication_funcs\core.js", "JavaScript", 0, -30, 0, -1, -31
"c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\index\communication_funcs\desktop.js", "JavaScript", 0, -113, -1, -1, -115
"c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\index\communication_funcs\mobile.js", "JavaScript", 0, -114, -1, -1, -116
"c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\index\light.js", "JavaScript", 0, -81, -55, -18, -154
"c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\model\LighterModel.js", "JavaScript", 0, -164, -4, -5, -173
"c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\model\LighterThumbnail.js", "JavaScript", 0, -95, -2, -15, -112
"c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\project\Core.js", "JavaScript", 0, -221, -47, -21, -289
"c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\project\communication.js", "JavaScript", 0, -171, -1, -20, -192
"c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\project\light.js", "JavaScript", 0, -73, -53, -18, -144
