"filename", "language", "CSS", "SCSS", "PHP", "JavaScript", "JSON", "Log", "comment", "blank", "total"
"c:\xampp\htdocs\fd\resources\js\GLOBAL\global_Helper_elements.js", "JavaScript", 0, 0, 0, 1445, 0, 0, 59, 98, 1602
"c:\xampp\htdocs\fd\resources\js\GLOBAL\global_Helper_sessions.js", "JavaScript", 0, 0, 0, 256, 0, 0, 1, 10, 267
"c:\xampp\htdocs\fd\resources\js\GLOBAL\global_Helper_time.js", "JavaScript", 0, 0, 0, 68, 0, 0, 0, 8, 76
"c:\xampp\htdocs\fd\resources\js\GLOBAL\global_Helper_user.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 1, 17
"c:\xampp\htdocs\fd\resources\js\GLOBAL\module_ThreeJS-Main.js", "JavaScript", 0, 0, 0, 44, 0, 0, 1, 12, 57
"c:\xampp\htdocs\fd\resources\js\GLOBAL\particleJS.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\xampp\htdocs\fd\resources\js\GLOBAL\particles.json", "JSON", 0, 0, 0, 0, 105, 0, 0, 0, 105
"c:\xampp\htdocs\fd\resources\js\Helper\Helper.js", "JavaScript", 0, 0, 0, 44, 0, 0, 39, 2, 85
"c:\xampp\htdocs\fd\resources\js\Helper\cookies.js", "JavaScript", 0, 0, 0, 42, 0, 0, 0, 4, 46
"c:\xampp\htdocs\fd\resources\js\Login\Authentification.js", "JavaScript", 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\xampp\htdocs\fd\resources\js\Login\Login.js", "JavaScript", 0, 0, 0, 287, 0, 0, 21, 26, 334
"c:\xampp\htdocs\fd\resources\js\Login\LoginHelper.js", "JavaScript", 0, 0, 0, 300, 0, 0, 37, 34, 371
"c:\xampp\htdocs\fd\resources\js\Login\changePassword.js", "JavaScript", 0, 0, 0, 102, 0, 0, 0, 4, 106
"c:\xampp\htdocs\fd\resources\js\NavigationBar.js", "JavaScript", 0, 0, 0, 75, 0, 0, 47, 23, 145
"c:\xampp\htdocs\fd\resources\js\Orders\Order.js", "JavaScript", 0, 0, 0, 84, 0, 0, 7, 4, 95
"c:\xampp\htdocs\fd\resources\js\Payment\GooglePay.js", "JavaScript", 0, 0, 0, 106, 0, 0, 111, 15, 232
"c:\xampp\htdocs\fd\resources\js\ProductInformation\ProductInformation.js", "JavaScript", 0, 0, 0, 105, 0, 0, 6, 34, 145
"c:\xampp\htdocs\fd\resources\js\Products\Products.js", "JavaScript", 0, 0, 0, 215, 0, 0, 5, 15, 235
"c:\xampp\htdocs\fd\resources\js\Profile\Address.js", "JavaScript", 0, 0, 0, 104, 0, 0, 33, 16, 153
"c:\xampp\htdocs\fd\resources\js\Profile\AddressHelper.js", "JavaScript", 0, 0, 0, 186, 0, 0, 0, 25, 211
"c:\xampp\htdocs\fd\resources\js\Profile\Profile.js", "JavaScript", 0, 0, 0, 103, 0, 0, 7, 23, 133
"c:\xampp\htdocs\fd\resources\js\Profile\profileHelper.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 3, 39
"c:\xampp\htdocs\fd\resources\js\Projects\Projects.js", "JavaScript", 0, 0, 0, 87, 0, 0, 2, 8, 97
"c:\xampp\htdocs\fd\resources\js\ShoppingCart\ShoppingCart.js", "JavaScript", 0, 0, 0, 77, 0, 0, 1, 7, 85
"c:\xampp\htdocs\fd\resources\js\ShoppingCart\ShoppingCartHelper.js", "JavaScript", 0, 0, 0, 304, 0, 0, 22, 36, 362
"c:\xampp\htdocs\fd\resources\js\bootstrap\bootstrap.js", "JavaScript", 0, 0, 0, 3464, 0, 0, 489, 1064, 5017
"c:\xampp\htdocs\fd\resources\js\d - Checkout\Checkout.js", "JavaScript", 0, 0, 0, 603, 0, 0, 164, 112, 879
"c:\xampp\htdocs\fd\resources\js\d - Checkout\CheckoutHelper.js", "JavaScript", 0, 0, 0, 64, 0, 0, 22, 9, 95
"c:\xampp\htdocs\fd\resources\js\d - Checkout\GooglePay.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\fd\resources\js\d - Checkout\Payment.js", "JavaScript", 0, 0, 0, 71, 0, 0, 8, 8, 87
"c:\xampp\htdocs\fd\resources\js\d - Checkout\paymentComplete\paymentComplete.js", "JavaScript", 0, 0, 0, 31, 0, 0, 0, 6, 37
"c:\xampp\htdocs\fd\resources\js\index.js", "JavaScript", 0, 0, 0, 16, 0, 0, 22, 6, 44
"c:\xampp\htdocs\fd\resources\js\lexOffice\lexOfficeCore.js", "JavaScript", 0, 0, 0, 54, 0, 0, 0, 9, 63
"c:\xampp\htdocs\fd\resources\js\lexOffice\lexOfficeGenerateData.js", "JavaScript", 0, 0, 0, 205, 0, 0, 41, 28, 274
"c:\xampp\htdocs\fd\resources\js\lexOffice\lexOfficeHelper.js", "JavaScript", 0, 0, 0, 14, 0, 0, 4, 1, 19
"c:\xampp\htdocs\fd\resources\php\CORE.php", "PHP", 0, 0, 255, 0, 0, 0, 3, 16, 274
"c:\xampp\htdocs\fd\resources\php\CORE_dataBase.php", "PHP", 0, 0, 372, 0, 0, 0, 0, 25, 397
"c:\xampp\htdocs\fd\resources\php\Designs\DesignCore.php", "PHP", 0, 0, 38, 0, 0, 0, 13, 10, 61
"c:\xampp\htdocs\fd\resources\php\Designs\Hashtags\hashtags.php", "PHP", 0, 0, 59, 0, 0, 0, 0, 5, 64
"c:\xampp\htdocs\fd\resources\php\Designs\Hashtags\hashtagsAccess.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\xampp\htdocs\fd\resources\php\Designs\Hashtags\php_errors.log", "Log", 0, 0, 0, 0, 0, 90, 0, 1, 91
"c:\xampp\htdocs\fd\resources\php\Designs\Images\imageDesign.php", "PHP", 0, 0, 199, 0, 0, 0, 9, 24, 232
"c:\xampp\htdocs\fd\resources\php\Designs\Images\imageDesignAccess.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 1, 13
